t_s,current_a,label
1994.185379,1.6633,stall
1994.186379,1.6694,stall
1994.187379,1.6694,stall
1994.188381,1.6572,stall
1994.189381,1.6572,stall
1994.190381,1.6572,stall
1994.191382,1.6511,stall
1994.192382,1.6755,stall
1994.193382,1.6572,stall
1994.194383,1.6633,stall
1994.195383,1.6572,stall
1994.196384,1.6694,stall
1994.197385,1.6633,stall
1994.198387,1.6572,stall
1994.199387,1.6694,stall
1994.200389,1.6572,stall
1994.201389,1.6633,stall
1994.202391,1.6572,stall
1994.203391,1.6572,stall
1994.204391,1.6572,stall
1994.205391,1.6633,stall
1994.206392,1.6755,stall
1994.207394,1.6938,stall
1994.208395,1.6694,stall
1994.209397,1.6572,stall
1994.210397,1.6755,stall
1994.211398,1.6755,stall
1994.212398,1.6816,stall
1994.2134,1.6725,stall
1994.2144,1.6694,stall
1994.215402,1.6755,stall
1994.216404,1.6694,stall
1994.217404,1.6725,stall
1994.218405,1.6633,stall
1994.219406,1.6694,stall
1994.220408,1.6694,stall
1994.221409,1.6664,stall
1994.22241,1.6694,stall
1994.223412,1.6572,stall
1994.224412,1.6816,stall
1994.225414,1.6694,stall
1994.226414,1.6633,stall
1994.227415,1.6694,stall
1994.228415,1.6572,stall
1994.229416,1.6755,stall
1994.230417,1.6755,stall
1994.231418,1.6725,stall
1994.232418,1.6755,stall
1994.233418,1.6755,stall
1994.23442,1.6694,stall
1994.23542,1.6755,stall
1994.236422,1.6694,stall
1994.237424,1.6755,stall
1994.238424,1.6694,stall
1994.239425,1.6694,stall
1994.240426,1.6725,stall
1994.241428,1.6664,stall
1994.242429,1.6755,stall
1994.24343,1.6755,stall
1994.244432,1.6694,stall
1994.245433,1.6572,stall
1994.246434,1.6755,stall
1994.247434,1.6633,stall
1994.248435,1.6694,stall
1994.249435,1.6694,stall
1994.250435,1.6694,stall
1994.251436,1.6694,stall
1994.252436,1.6755,stall
1994.253436,1.6694,stall
1994.254438,1.6633,stall
1994.255439,1.6755,stall
1994.25644,1.6694,stall
1994.257441,1.6694,stall
1994.258443,1.6755,stall
1994.259444,1.6938,stall
1994.260444,1.6816,stall
1994.261445,1.6572,stall
1994.262447,1.6511,stall
1994.263449,1.6633,stall
1994.26445,1.6633,stall
1994.26545,1.6694,stall
1994.266452,1.6572,stall
1994.267452,1.6633,stall
1994.268454,1.6633,stall
1994.269456,1.6755,stall
1994.270458,1.6755,stall
1994.271458,1.6694,stall
1994.27246,1.6694,stall
1994.273462,1.6694,stall
1994.274463,1.6755,stall
1994.275463,1.6755,stall
1994.276464,1.6633,stall
1994.277466,1.6572,stall
1994.278467,1.6694,stall
1994.279467,1.6877,stall
1994.280467,1.6725,stall
1994.281469,1.6755,stall
1994.28247,1.6694,stall
1994.283471,1.6572,stall
1994.284471,1.6755,stall
1994.285473,1.6755,stall
1994.286475,1.6694,stall
1994.287476,1.6816,stall
1994.288478,1.6664,stall
1994.289478,1.6755,stall
1994.29048,1.6816,stall
1994.291481,1.6664,stall
1994.292481,1.6633,stall
1994.293481,1.6755,stall
1994.294482,1.6816,stall
1994.295482,1.6694,stall
1994.296484,1.6755,stall
1994.297484,1.6755,stall
1994.298485,1.6725,stall
1994.299485,1.6572,stall
1994.300486,1.6694,stall
1994.301488,1.6694,stall
1994.302489,1.6664,stall
1994.30349,1.6694,stall
1994.304492,1.6786,stall
1994.305493,1.6755,stall
1994.306495,1.6755,stall
1994.307496,1.6755,stall
1994.308496,1.6725,stall
1994.309497,1.6633,stall
1994.310497,1.6694,stall
1994.311497,1.6816,stall
1994.312499,1.6694,stall
1994.3135,1.6725,stall
1994.3145,1.6816,stall
1994.3155,1.6755,stall
1994.3165,1.6694,stall
1994.317501,1.6755,stall
1994.318502,1.6755,stall
1994.319503,1.6786,stall
1994.320503,1.6694,stall
1994.321505,1.6572,stall
1994.322505,1.6572,stall
1994.323507,1.6572,stall
1994.324509,1.6755,stall
1994.325509,1.6572,stall
1994.326509,1.6694,stall
1994.327509,1.6633,stall
1994.32851,1.6755,stall
1994.329511,1.6725,stall
1994.330511,1.6694,stall
1994.331511,1.6816,stall
1994.332511,1.6816,stall
1994.333513,1.6816,stall
1994.334513,1.6755,stall
1994.335513,1.6694,stall
